uops_generated harness — XED-driven prototype
logical_cpu_requested=0 pinned=yes current_cpu=0 bench_count=166 samples=31 iters=100000
empty_loop_median: thread_ns=26930 tsc=90304

iform                                   iclass      med_ns   med_tsc
VFNMSUB132PD_YMM_YMM_YMM                VFNMSUB132PD     0.877     2.982
VFNMSUB132PS_XMM_XMM_XMM                VFNMSUB132PS     0.877     2.982
VFNMSUB132PS_YMM_YMM_YMM                VFNMSUB132PS     0.877     2.982
VFNMSUB132SD_XMM_XMM_XMM                VFNMSUB132SD     0.877     2.982
VFNMSUB132SS_XMM_XMM_XMM                VFNMSUB132SS     0.878     2.984
VFNMSUB213PD_XMM_XMM_XMM                VFNMSUB213PD     0.877     2.982
VFNMSUB213PD_YMM_YMM_YMM                VFNMSUB213PD     0.877     2.982
VFNMSUB213PS_XMM_XMM_XMM                VFNMSUB213PS     0.877     2.982
VFNMSUB213PS_YMM_YMM_YMM                VFNMSUB213PS     0.877     2.982
VFNMSUB213SD_XMM_XMM_XMM                VFNMSUB213SD     0.877     2.982
VFNMSUB213SS_XMM_XMM_XMM                VFNMSUB213SS     0.878     2.984
VFNMSUB231PD_XMM_XMM_XMM                VFNMSUB231PD     0.877     2.983
VFNMSUB231PD_YMM_YMM_YMM                VFNMSUB231PD     0.877     2.982
VFNMSUB231PS_XMM_XMM_XMM                VFNMSUB231PS     0.877     2.982
VFNMSUB231PS_YMM_YMM_YMM                VFNMSUB231PS     0.877     2.982
VFNMSUB231SD_XMM_XMM_XMM                VFNMSUB231SD     0.877     2.982
VFNMSUB231SS_XMM_XMM_XMM                VFNMSUB231SS     0.877     2.983
LZCNT_R64_R64                           LZCNT        0.053     0.179
ADDPD_XMM_XMM                           ADDPD        0.657     2.233
ADDSD_XMM_XMM                           ADDSD        0.657     2.233
DIVPD_XMM_XMM                           DIVPD        2.971    10.102
DIVSD_XMM_XMM                           DIVSD        2.970    10.100
MAXPD_XMM_XMM                           MAXPD        0.216     0.735
MAXSD_XMM_XMM                           MAXSD        0.216     0.735
MINPD_XMM_XMM                           MINPD        0.216     0.735
MINSD_XMM_XMM                           MINSD        0.217     0.736
MULPD_XMM_XMM                           MULPD        0.664     2.258
MULSD_XMM_XMM                           MULSD        0.664     2.259
SQRTPD_XMM_XMM                          SQRTPD       1.893     6.436
SQRTSD_XMM_XMM                          SQRTSD       1.892     6.434
SUBPD_XMM_XMM                           SUBPD        0.664     2.259
SUBSD_XMM_XMM                           SUBSD        0.665     2.261
